TRADEDATE,ADMITTEDQUOTE,ADMITTEDVALUE,BEICLOSE,BID,BOARDID,BOARDNAME,BUYBACKDATE,CBRCLOSE,CLOSE,CLOSEAUCTIONPRICE,CLOSEPERIOD,CLOSEVAL,COUPONPERCENT,COUPONVALUE,CURRENCYID,DAILYCAPITALIZATION,DECIMALS,FACEUNIT,FACEVALUE,HIGH,HIGHBID,IRICPICLOSE,ISIN,ISSUESIZE,LASTPRICE,LASTTRADEDATE,LEGALCLOSEPRICE,LEGALOPENPRICE,LISTNAME,LOW,LOWOFFER,MARKETPRICE,MARKETPRICE2,MARKETPRICE3,MARKETPRICE3CUR,MARKETPRICE3TRADESVALUE,MARKETPRICE3TRADESVALUECUR,MONTHLYCAPITALIZATION,MP2VALTRD,MPVALTRD,NUMBID,NUMOFFER,NUMTRADES,OFFER,OFFERDATE,OPEN,OPENPERIOD,OPENVAL,PREV,PREVLEGALCLOSEPRICE,REGNUMBER,SECID,SHORTNAME,TRADINGSESSION,TRENDCLOSE,TRENDCLSPR,TRENDWAP,TRENDWAPPR,TYPE,VALUE,VOLUME,WAPRICE,WAVAL,YIELDLASTCOUPON,YIELDTOOFFER
2018-10-04,,,,,EQRP,,,,7.37,,,,,,,,,,,7.55,,,,,,,,,,7.31,,,,,,,,,,,,,39.0,,,7.49,,,,,,MGNT,Магнит ао,3.0,,,,,,1013910379.8,,7.43,,,
2018-10-04,,,,,PSRP,,,,0.0,,,,,,,,,,,13.0,,,,,,,,,,-15.0,,,,,,,,,,,,,41.0,,,-7.0,,,,,,MGNT,Магнит ао,3.0,,,,,,109918096.82,,0.0,,,
2018-10-05,,,,,EQRP,,,,7.55,,,,,,,,,,,7.79,,,,,,,,,,7.33,,,,,,,,,,,,,49.0,,,7.49,,,,,,MGNT,Магнит ао,3.0,,,,,,1534015359.72,,7.56,,,
2018-10-05,,,,,PSRP,,,,0.0,,,,,,,,,,,13.0,,,,,,,,,,-15.0,,,,,,,,,,,,,47.0,,,-7.0,,,,,,MGNT,Магнит ао,3.0,,,,,,432467416.33,,0.0,,,
2018-10-08,,,,,EQRP,,,,6.0,,,,,,,,,,,7.6,,,,,,,,,,6.0,,,,,,,,,,,,,49.0,,,7.42,,,,,,MGNT,Магнит ао,3.0,,,,,,2008703110.44,,7.37,,,
2018-10-08,,,,,PSRP,,,,0.0,,,,,,,,,,,13.0,,,,,,,,,,-7.0,,,,,,,,,,,,,42.0,,,-7.0,,,,,,MGNT,Магнит ао,3.0,,,,,,83258634.73,,0.0,,,
2018-10-09,,,,,EQRP,,,,6.01,,,,,,,,,,,7.6,,,,,,,,,,6.01,,,,,,,,,,,,,30.0,,,7.25,,,,,,MGNT,Магнит ао,3.0,,,,,,1769997113.52,,7.52,,,
2018-10-09,,,,,PSRP,,,,0.0,,,,,,,,,,,13.0,,,,,,,,,,-7.0,,,,,,,,,,,,,41.0,,,-7.0,,,,,,MGNT,Магнит ао,3.0,,,,,,224753091.96,,0.0,,,
2018-10-10,,,,,EQRP,,,,6.75,,,,,,,,,,,7.6,,,,,,,,,,6.75,,,,,,,,,,,,,52.0,,,7.6,,,,,,MGNT,Магнит ао,3.0,,,,,,1615581074.14,,7.31,,,
2018-10-10,,,,,PSRP,,,,0.0,,,,,,,,,,,14.0,,,,,,,,,,-7.5,,,,,,,,,,,,,58.0,,,0.0,,,,,,MGNT,Магнит ао,3.0,,,,,,318599839.11,,0.0,,,
2018-10-11,,,,,EQRP,,,,7.58,,,,,,,,,,,7.85,,,,,,,,,,7.37,,,,,,,,,,,,,41.0,,,7.5,,,,,,MGNT,Магнит ао,3.0,,,,,,2060078893.88,,7.44,,,
2018-10-11,,,,,PSRP,,,,0.0,,,,,,,,,,,16.0,,,,,,,,,,-7.0,,,,,,,,,,,,,59.0,,,5.5,,,,,,MGNT,Магнит ао,3.0,,,,,,418425671.89,,0.0,,,
2018-10-12,,,,,EQRP,,,,7.4,,,,,,,,,,,7.59,,,,,,,,,,7.27,,,,,,,,,,,,,28.0,,,7.38,,,,,,MGNT,Магнит ао,3.0,,,,,,923758520.5,,7.42,,,
2018-10-12,,,,,PSRP,,,,14.0,,,,,,,,,,,16.0,,,,,,,,,,-7.0,,,,,,,,,,,,,54.0,,,5.5,,,,,,MGNT,Магнит ао,3.0,,,,,,154911439.59,,0.0,,,
2018-10-15,,,,,EQRP,,,,7.51,,,,,,,,,,,7.8,,,,,,,,,,7.41,,,,,,,,,,,,,34.0,,,7.45,,,,,,MGNT,Магнит ао,3.0,,,,,,1645454699.28,,7.46,,,
2018-10-15,,,,,PSRP,,,,7.0,,,,,,,,,,,16.0,,,,,,,,,,-12.0,,,,,,,,,,,,,50.0,,,-7.0,,,,,,MGNT,Магнит ао,3.0,,,,,,156024056.27,,0.0,,,
2018-10-16,,,,,EQRP,,,,7.14,,,,,,,,,,,7.6,,,,,,,,,,7.13,,,,,,,,,,,,,28.0,,,7.35,,,,,,MGNT,Магнит ао,3.0,,,,,,1686627864.78,,7.44,,,
2018-10-16,,,,,PSRP,,,,16.0,,,,,,,,,,,16.0,,,,,,,,,,-12.0,,,,,,,,,,,,,50.0,,,5.5,,,,,,MGNT,Магнит ао,3.0,,,,,,128178418.0,,0.0,,,
